id,c000,ca01,ca02,ca03,ce01,ce02,ce03,cns01,cns02,cns03,cns04,cns05,cns06,cns07,cns08,cns09,cns10,cns11,cns12,cns13,cns14,cns15,cns16,cns17,cns18,cns19,cns20,cr01,cr02,cr03,cr04,cr05,cr07,ct01,ct02,cd01,cd02,cd03,cd04,cg01,cg02,longitude,latitude,sum_workers
060411150004010,6,4,1,1,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,2,1,1,0,0,6,0,-122.57392919643172,37.986704223105065,44
060411150004016,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,-122.57575682185161,37.98655300177223,8
060411150004004,12,1,8,3,3,8,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,4,10,2,0,6,1,4,10,2,-122.5721811783562,37.98491271295824,95
060411150004009,15,2,12,1,1,7,7,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,12,3,2,4,3,4,7,8,-122.5733412554276,37.9873455134805,118
060411160001002,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,0,2,-122.57910780638223,37.9863008978238,16
060411160001007,141,4,91,46,18,7,116,0,0,0,0,0,1,0,0,0,0,0,3,0,0,135,2,0,0,0,0,130,5,0,3,0,3,129,12,10,15,24,88,59,82,-122.5737603924812,37.98337895052199,1124
060411160001000,7,1,0,6,0,4,3,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,1,2,3,4,3,-122.5760231272524,37.98568083268965,55
060411160001013,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,1,0,2,3,0,-122.56877183239224,37.981627986677374,24
060411160001001,9,0,6,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,2,0,0,0,0,7,2,1,0,2,6,3,6,-122.57704514229738,37.985162352448484,72
060411160001004,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,-122.57796460024606,37.98480306234144,8
